Mese,Nazione,Visitatori Nazione,Regione,Visitatori Regione,Città europee,Visitatori Città europee,Province Italiane,Visitatori Province italiane,Comuni CM di Bologna,Visitatori CM di Bologna
Maggio,italia,"35,12",,,,,,,,
Maggio,usa,"2,606",,,,,,,,
Maggio,francia/france,"1,456",,,,,,,,
Maggio,germania/germany,"1,243",,,,,,,,
Maggio,regno unito/united kingdom,"1,224",,,,,,,,
Maggio,spagna/spain,830,,,,,,,,
Maggio,austria,579,,,,,,,,
Maggio,belgio/belgium,563,,,,,,,,
Maggio,canada,563,,,,,,,,
Maggio,polonia/poland,541,,,,,,,,
Maggio,,,emilia-romagna,"25,741",,,,,,
Maggio,,,marche,"1,873",,,,,,
Maggio,,,veneto,"1,554",,,,,,
Maggio,,,lombardia,"1,378",,,,,,
Maggio,,,toscana,923,,,,,,
Maggio,,,lazio,737,,,,,,
Maggio,,,piemonte,589,,,,,,
Maggio,,,puglia,334,,,,,,
Maggio,,,sicilia,310,,,,,,
Maggio,,,campania,257,,,,,,
Maggio,,,,,london,574,,,,
Maggio,,,,,paris,527,,,,
Maggio,,,,,berlin,349,,,,
Maggio,,,,,madrid,265,,,,
Maggio,,,,,vienna,221,,,,
Maggio,,,,,warsaw,179,,,,
Maggio,,,,,athens,163,,,,
Maggio,,,,,amsterdam,121,,,,
Maggio,,,,,barcelona,121,,,,
Maggio,,,,,brussels,100,,,,
Maggio,,,,,,,bologna,"18,228",,
Maggio,,,,,,,modena,"2,224",,
Maggio,,,,,,,forlì-cesena,"1,405",,
Maggio,,,,,,,ferrara,"1,083",,
Maggio,,,,,,,ravenna,811,,
Maggio,,,,,,,pesaro e urbino,744,,
Maggio,,,,,,,roma,668,,
Maggio,,,,,,,rimini,663,,
Maggio,,,,,,,reggio nell''emilia,595,,
Maggio,,,,,,,milano,583,,
Maggio,,,,,,,,,bologna,"14,206"
Maggio,,,,,,,,,casalecchio di reno,418
Maggio,,,,,,,,,san lazzaro di savena,337
Maggio,,,,,,,,,san giovanni in persiceto,278
Maggio,,,,,,,,,castel maggiore,263
Maggio,,,,,,,,,zola predosa,247
Maggio,,,,,,,,,granarolo dell''emilia,236
Maggio,,,,,,,,,imola,215
Maggio,,,,,,,,,baricella,208
Maggio,,,,,,,,,pianoro,182
Aprile,italia,"36,731",,,,,,,,
Aprile,usa,"2,378",,,,,,,,
Aprile,francia/france,"2,122",,,,,,,,
Aprile,germania/germany,"1,526",,,,,,,,
Aprile,regno unito/united kingdom,"1,166",,,,,,,,
Aprile,spagna/spain,"1,081",,,,,,,,
Aprile,canada,961,,,,,,,,
Aprile,austria,658,,,,,,,,
Aprile,belgio/belgium,586,,,,,,,,
Aprile,polonia/poland,554,,,,,,,,
Aprile,,,emilia-romagna,"24,78",,,,,,
Aprile,,,lombardia,"1,814",,,,,,
Aprile,,,veneto,"1,801",,,,,,
Aprile,,,marche,"1,558",,,,,,
Aprile,,,lazio,"1,358",,,,,,
Aprile,,,toscana,"1,19",,,,,,
Aprile,,,piemonte,825,,,,,,
Aprile,,,campania,548,,,,,,
Aprile,,,sicilia,455,,,,,,
Aprile,,,puglia,417,,,,,,
Aprile,,,,,paris,541,,,,
Aprile,,,,,london,407,,,,
Aprile,,,,,berlin,345,,,,
Aprile,,,,,madrid,309,,,,
Aprile,,,,,vienna,293,,,,
Aprile,,,,,athens,184,,,,
Aprile,,,,,amsterdam,140,,,,
Aprile,,,,,copenhagen,108,,,,
Aprile,,,,,barcelona,104,,,,
Aprile,,,,,warsaw,99,,,,
Aprile,,,,,,,bologna,"17,799",,
Aprile,,,,,,,modena,"1,452",,
Aprile,,,,,,,rimini,"1,35",,
Aprile,,,,,,,ravenna,"1,257",,
Aprile,,,,,,,roma,"1,127",,
Aprile,,,,,,,forlì-cesena,932,,
Aprile,,,,,,,milano,851,,
Aprile,,,,,,,pesaro e urbino,682,,
Aprile,,,,,,,reggio nell'emilia,607,,
Aprile,,,,,,,firenze,598,,
Aprile,,,,,,,,,bologna,"14,541"
Aprile,,,,,,,,,casalecchio di reno,377
Aprile,,,,,,,,,san lazzaro di savena,267
Aprile,,,,,,,,,castel san pietro terme,216
Aprile,,,,,,,,,anzola dell''emilia,176
Aprile,,,,,,,,,imola,172
Aprile,,,,,,,,,san giorgio di piano,168
Aprile,,,,,,,,,san giovanni in persiceto,127
Aprile,,,,,,,,,marzabotto,125
Aprile,,,,,,,,,castel maggiore,117
