Anno,Mese,Museo,Bologna,Resto_Italia,Resto_Europa,Nord_America,Centro_America,Sud_America,Asia,Africa,Oceania,Totale_Visitatori,Continente_Non_Specificato,Totale_Interviste
2025,Gennaio,Museo Musica,867,406,112,130,25,11,28,0,14,1593,678,2271
2025,Gennaio,Museo Archeologico,5760,2160,933,223,3,34,124,11,60,9308,0,9308
2025,Gennaio,Collezioni Comunali,1025,2248,1110,199,10,41,78,0,93,4804,0,4804
2025,Gennaio,Museo Medievale,1401,699,413,210,4,32,38,0,87,2884,0,2884
2025,Gennaio,Museo Bargellini,2086,921,414,41,12,58,64,4,17,3617,0,3617
2025,Gennaio,Museo del Risorgimento,295,121,15,2,0,1,2,0,1,437,0,437
2025,Gennaio,Museo del Patrimonio Industriale,1409,153,34,10,0,1,9,0,0,1616,0,1616
2025,Gennaio,Museo di Ustica,245,995,48,0,0,2,4,0,2,1296,0,1296
2025,Gennaio,Casa Morandi,213,125,39,16,0,0,34,0,6,433,0,433
2025,Gennaio,Mambo Collezione,1856,1141,829,259,6,33,149,1,83,4357,0,4357
2025,Gennaio,"Museo Musica ""Carboni""",1473,1284,30,29,0,1,4,20,7,2848,0,2848
2025,Gennaio,"MAMbo ""Kusmirowski""",475,336,205,57,2,3,20,0,13,1111,0,1111
2025,Gennaio,"Villa delle Rose ""Carol Rama""",281,60,4,0,0,2,1,0,0,348,0,348
2025,Febbraio,Museo Musica,1674,518,234,79,18,45,21,2,20,2611,1309,3920
2025,Febbraio,Museo Archeologico,8164,4170,1138,213,8,28,131,6,50,13908,0,13908
2025,Febbraio,Collezioni Comunali,1637,2026,1529,210,8,58,101,4,31,5604,0,5604
2025,Febbraio,Museo Medievale,2172,989,508,132,2,24,37,0,85,3949,0,3949
2025,Febbraio,Museo Bargellini,1603,991,524,113,11,62,36,2,23,3365,0,3365
2025,Febbraio,Museo del Risorgimento,350,106,27,6,0,11,1,0,0,501,0,501
2025,Febbraio,Museo del Patrimonio Industriale,1884,256,53,0,0,4,2,0,2,2201,0,2201
2025,Febbraio,Museo di Ustica,340,862,99,0,0,1,12,0,0,1314,0,1314
2025,Febbraio,Casa Morandi,440,230,85,19,0,2,42,0,0,818,0,818
2025,Febbraio,Mambo Collezione,8047,2288,834,206,1,18,75,0,59,11528,0,11528
2025,Febbraio,"Museo Musica ""Carboni""",1249,1471,67,29,0,1,4,20,7,2848,0,2848
2025,Febbraio,"MAMbo ""Facile Ironia""",9503,2524,400,132,1,20,22,0,35,12637,0,12637
2025,Febbraio,"Villa delle Rose ""Carol Rama""",891,431,25,0,0,3,3,0,0,1353,0,1353
2025,Marzo,Museo Musica,1745,783,227,133,44,12,23,2,22,2991,129,3120
2025,Marzo,Museo Archeologico,6016,8390,1310,295,3,26,144,6,78,16268,0,16268
2025,Marzo,Collezioni Comunali,1041,1930,1740,293,8,31,96,7,15,5161,0,5161
2025,Marzo,Museo Medievale,1967,999,493,287,4,18,64,0,130,3962,0,3962
2025,Marzo,Museo Bargellini,1186,946,609,94,15,21,58,0,5,2934,0,2934
2025,Marzo,Museo del Risorgimento,336,231,35,14,0,3,1,0,1,621,0,621
2025,Marzo,Museo del Patrimonio Industriale,2399,255,137,9,0,0,1,0,0,2801,0,2801
2025,Marzo,Museo di Ustica,317,1353,91,13,0,2,1,0,0,1777,0,1777
2025,Marzo,Casa Morandi,82,133,99,34,0,1,49,0,4,402,0,402
2025,Marzo,Mambo Collezione,3549,1262,1218,326,6,22,124,0,102,6609,0,6609
2025,Marzo,"Museo Musica ""Carboni""",380,112,1,10,0,0,0,0,0,503,0,503
