;VISITATORI PER PROVENIENZA GEOGRAFICA – GENNAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;867;406;112;130;25;11;28;0;14;1.593;4,6%;;678;2.271;;
Museo Archeologico;5.760;2.160;933;223;3;34;124;11;60;9.308;26,9%;;0;9.308;;
Collezioni Comunali;1.025;2.248;1.110;199;10;41;78;0;93;4.804;13,9%;;0;4.804;;
Museo Medievale;1.401;699;413;210;4;32;38;0;87;2.884;8,3%;;0;2.884;;
Museo Bargellini;2.086;921;414;41;12;58;64;4;17;3.617;10,4%;;0;3.617;;
Museo della Tappezzeria;CHIUSO;;;;;;;;;;;;;;;
Museo del Risorgimento;295;121;15;2;0;1;2;0;1;437;1,3%;;0;437;;
Museo del Patrimonio Industriale;1.409;153;34;10;0;1;9;0;0;1.616;4,7%;;0;1.616;;
Museo di Ustica;245;995;48;0;0;2;4;0;2;1.296;3,7%;;0;1.296;;
Casa Morandi;213;125;39;16;0;0;34;0;6;433;1,2%;;0;433;;
Mambo Collezione;1.856;1.141;829;259;6;33;149;1;83;4.357;12,6%;;0;4.357;;
Museo Musica “Carboni”;1.473;1.284;30;29;0;1;4;20;7;2.848;8,2%;;0;2.848;;
MAMbo “Kusmirowski”;475;336;205;57;2;3;20;0;13;1.111;3,2%;;0;1.111;;
Villa delle Rose “Carol Rama”;281;60;4;0;0;2;1;0;0;348;1,0%;;0;348;;
Totale Istituzione;17.386;10.649;4.186;1.176;62;219;555;36;383;34.652;100,0%;;678;35.330;;
;46,72%;33,41%;12,27%;3,76%;0,15%;1,06%;1,65%;0,04%;0,94%;100,00%;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;VISITATORI PER PROVENIENZA GEOGRAFICA – FEBBRAIO 2025;;;;;;;;;;;;;;;
Musei;Bologna;Resto d’Italia;Resto d’Europa;Nord America;Centro America;Sud America;Asia;Africa;Oceania;Totale;%;;Continente non specificato;Totale interviste;;
Museo Musica;1.674;518;234;79;18;45;21;2;20;2.611;4,1%;;1.309;3.920;;
Museo Archeologico;8.164;4.170;1.138;213;8;28;131;6;50;13.908;22,1%;;0;13.908;;
Collezioni Comunali;1.637;2.026;1.529;210;8;58;101;4;31;5.604;8,9%;;0;5.604;;
